Name,Bibtex,Journal,PDF,People,Summary,Tags,Title,URL,Year
Shi2012-hu,"@ARTICLE{Shi2012-hu,
title = ""Directed differentiation of human pluripotent stem cells to
cerebral cortex neurons and neural networks"",
author = ""Shi, Yichen and Kirwan, Peter and Livesey, Frederick J"",
abstract = ""Efficient derivation of human cerebral neocortical neural stem
cells (NSCs) and functional neurons from pluripotent stem cells
(PSCs) facilitates functional studies of human cerebral cortex
development, disease modeling and drug discovery. Here we provide
a detailed protocol for directing the differentiation of human
embryonic stem cells (hESCs) and induced pluripotent stem cells
(iPSCs) to all classes of cortical projection neurons. We
demonstrate an 80-d, three-stage process that recapitulates
cortical development, in which human PSCs (hPSCs) first
differentiate to cortical stem and progenitor cells that then
generate cortical projection neurons in a stereotypical temporal
order before maturing to actively fire action potentials, undergo
synaptogenesis and form neural circuits in vitro. Methods to
characterize cortical neuron identity and synapse formation are
described."",
journal = ""Nat. Protoc."",
volume = 7,
number = 10,
pages = ""1836--1846"",
month = oct,
year = 2012,
language = ""en""
}",Nat. Protoc.,Cell%20Learning/Shi_et_al._2012_-_Directed_differentiation_of_human_pluripotent_stem_cells_to_cerebral_cortex_neurons_and_neural_networks.pdf,,,Neurons,Directed differentiation of human pluripotent stem cells to cerebral cortex neurons and neural networks,,2012
Lee2019-hj,"@ARTICLE{Lee2019-hj,
title = ""{CAG} Repeat Not Polyglutamine Length Determines Timing of
Huntington's Disease Onset"",
author = ""Lee, Jong-Min and Correia, Kevin and Loupe, Jacob and Kim,
Kyung-Hee and Barker, Douglas and Hong, Eun Pyo and Chao, Michael
J and Long, Jeffrey D and Lucente, Diane and Vonsattel, Jean Paul
G and Pinto, Ricardo Mouro and Abu Elneel, Kawther and Ramos,
Eliana Marisa and Mysore, Jayalakshmi Srinidhi and Gillis, Tammy
and Wheeler, Vanessa C and MacDonald, Marcy E and Gusella, James
F and McAllister, Branduff and Massey, Thomas and Medway,
Christopher and Stone, Timothy C and Hall, Lynsey and Jones,
Lesley and Holmans, Peter and Kwak, Seung and Ehrhardt, Anka G
and Sampaio, Cristina and Ciosi, Marc and Maxwell, Alastair and
Chatzi, Afroditi and Monckton, Darren G and Orth, Michael and
Landwehrmeyer, G Bernhard and Paulsen, Jane S and Dorsey, E Ray
and Shoulson, Ira and Myers, Richard H"",
abstract = ""Summary Variable, glutamine-encoding, CAA interruptions indicate
that a property of the uninterrupted HTT CAG repeat sequence,
distinct from the length of huntingtin's polyglutamine segment,
dictates the rate at which Huntington's disease (HD) develops.
The timing of onset shows no significant association with HTT
cis-eQTLs but is influenced, sometimes in a sex-specific manner,
by polymorphic variation at multiple DNA maintenance genes,
suggesting that the special onset-determining property of the
uninterrupted CAG repeat is a propensity for length instability
that leads to its somatic expansion. Additional naturally
occurring genetic modifier loci, defined by GWAS, may influence
HD pathogenesis through other mechanisms. These findings have
profound implications for the pathogenesis of HD and other repeat
diseases and question the fundamental premise that polyglutamine
length determines the rate of pathogenesis in the ``polyglutamine
disorders.''"",
journal = ""Cell"",
volume = 178,
number = 4,
pages = ""887--900.e14"",
month = aug,
year = 2019,
keywords = ""Huntington's disease; CAG repeat; trinucleotide repeat; genetic
modifier; age at onset; somatic DNA expansion; DNA maintenance;
DNA repair; polyglutamine disease; disease modification""
}",Cell,Cell%20Learning/Lee_et_al._2019_-_CAG_Repeat_Not_Polyglutamine_Length_Determines_Timing_of_Huntingtons_Disease_Onset.pdf,,,"Neurons, Tri-nucleotide Repeats",{CAG} Repeat Not Polyglutamine Length Determines Timing of Huntington's Disease Onset,,2019
McMurray2010-ys,"@ARTICLE{McMurray2010-ys,
title = ""Mechanisms of trinucleotide repeat instability during human
development"",
author = ""McMurray, Cynthia T"",
abstract = ""Trinucleotide expansion underlies several human diseases.
Expansion occurs during multiple stages of human development in
different cell types, and is sensitive to the gender of the
parent who transmits the repeats. Repair and replication models
for expansions have been described, but we do not know whether
the pathway involved is the same under all conditions and for all
repeat tract lengths, which differ among diseases. Currently,
researchers rely on bacteria, yeast and mice to study expansion,
but these models differ substantially from humans. We need now to
connect the dots among human genetics, pathway biochemistry and
the appropriate model systems to understand the mechanism of
expansion as it occurs in human disease."",
journal = ""Nat. Rev. Genet."",
volume = 11,
number = 11,
pages = ""786--799"",
month = nov,
year = 2010,
language = ""en""
}",Nat. Rev. Genet.,Cell%20Learning/McMurray_2010_-_Mechanisms_of_trinucleotide_repeat_instability_during_human_development.pdf,,,"Review, Tri-nucleotide Repeats",Mechanisms of trinucleotide repeat instability during human development,,2010
Thelen2019-qt,"@ARTICLE{Thelen2019-qt,
title = ""The Role of {RNA} Binding Proteins for Local {mRNA} Translation:
Implications in Neurological Disorders"",
author = ""Thelen, Maximilian Paul and Kye, Min Jeong"",
abstract = ""As neurons are one of the most highly polarized cells in our
body, they require sophisticated cellular mechanisms to maintain
protein homeostasis in their subcellular compartments such as
axons and dendrites. When neuronal protein homeostasis is
disturbed due to genetic mutations or deletions, this often
results in degeneration of neurons leading to devastating outcome
such as spinal muscular atrophy (SMA), amyotrophic lateral
sclerosis (ALS), and fragile X syndrome (FXS). Ribonucleoprotein
(RNP) complexes are macromolecular complexes composed of RNA
binding proteins (RBPs) and their target RNAs. RBPs contain RNA
binding domains and bind to RNA molecules via specific sequence
motifs. RNP complexes have various functions in gene expression
including messenger RNA (mRNA) trafficking, RNA processing and
silencing. In neurons, RBPs deliver specific sets of mRNAs to
subcellular compartments such as axons and dendrites to be
locally translated. Mutations or deletions in genes coding for
RNPs have been reported as causes for neurological disorders such
as SMA, ALS, and FXS. As RBPs determine axonal or dendritic mRNA
repertoires as well as proteomes by trafficking selective mRNAs
and regulating local protein synthesis, they play a crucial role
for neuronal function. In this review, we summarize the role of
well-known RBPs, SMN, TDP-43, FUS, and FMRP, and review their
function for local protein synthesis in neurons. Furthermore, we
discuss their pathological contribution to the neurological
disorders."",
journal = ""Front Mol Biosci"",
volume = 6,
pages = ""161"",
year = 2019,
keywords = ""ALS; FXS; RNA binding proteins; SMA; local protein synthesis;
mRNA translation; neurodegeneration; ribonucleoproteins"",
language = ""en""
}",Front Mol Biosci,Cell%20Learning/Thelen_and_Kye_2019_-_The_Role_of_RNA_Binding_Proteins_for_Local_mRNA_Translation_-_Implications_in_Neurological_Disorders.pdf,,,"Neurons, RNA, Tri-nucleotide Repeats",The Role of {RNA} Binding Proteins for Local {mRNA} Translation: Implications in Neurological Disorders,,2019
Sephton2015-pp,"@ARTICLE{Sephton2015-pp,
title = ""The function of {RNA-binding} proteins at the synapse:
implications for neurodegeneration"",
author = ""Sephton, Chantelle F and Yu, Gang"",
abstract = ""The loss of synapses is a central event in neurodegenerative
diseases. Synaptic proteins are often associated with disease
neuropathology, but their role in synaptic loss is not fully
understood. Of the many processes involved in sustaining the
integrity of synapses, local protein translation can directly
impact synaptic formation, communication, and maintenance.
RNA-binding proteins and their association with RNA granules
serve to regulate mRNA transportation and translation at synapses
and in turn regulate the synapse. Genetic mutations in
RNA-binding proteins FUS and TDP-43 have been linked with causing
neurodegenerative diseases: amyotrophic lateral sclerosis and
frontotemporal dementia. The observation that mutations in FUS
and TDP-43 coincide with changes in RNA granules provides
evidence that dysfunction of RNA metabolism may underlie the
mechanism of synaptic loss in these diseases. However, we do not
know how mutations in RNA-binding proteins would affect RNA
granule dynamics and local translation, or if these alterations
would cause neurodegeneration. Further investigation into this
area will lead to important insights into how disruption of RNA
metabolism and local translation at synapses can cause
neurodegenerative diseases."",
journal = ""Cell. Mol. Life Sci."",
volume = 72,
number = 19,
pages = ""3621--3635"",
month = oct,
year = 2015,
keywords = ""Amyotrophic lateral sclerosis; FUS; Frontotemporal dementia;
Local translation; RNA granules; RNP granules; Stress granules;
TDP-43"",
language = ""en""
}",Cell. Mol. Life Sci.,Cell%20Learning/Sephton_and_Yu_2015_-_The_function_of_RNA-binding_proteins_at_the_synapse_-_implications_for_neurodegeneration.pdf,,,"Granule, LLPS, Neurons, RNA, Tri-nucleotide Repeats",The function of {RNA-binding} proteins at the synapse: implications for neurodegeneration,,2015
Iyer2015-pu,"@ARTICLE{Iyer2015-pu,
title = ""{DNA} triplet repeat expansion and mismatch repair"",
author = ""Iyer, Ravi R and Pluciennik, Anna and Napierala, Marek and Wells,
Robert D"",
abstract = ""DNA mismatch repair is a conserved antimutagenic pathway that
maintains genomic stability through rectification of DNA
replication errors and attenuation of chromosomal rearrangements.
Paradoxically, mutagenic action of mismatch repair has been
implicated as a cause of triplet repeat expansions that cause
neurological diseases such as Huntington disease and myotonic
dystrophy. This mutagenic process requires the mismatch
recognition factor MutS$\beta$ and the MutL$\alpha$ (and/or
possibly MutL$\gamma$) endonuclease, and is thought to be
triggered by the transient formation of unusual DNA structures
within the expanded triplet repeat element. This review
summarizes the current knowledge of DNA mismatch repair
involvement in triplet repeat expansion, which encompasses in
vitro biochemical findings, cellular studies, and various in vivo
transgenic animal model experiments. We present current
mechanistic hypotheses regarding mismatch repair protein function
in mediating triplet repeat expansions and discuss potential
therapeutic approaches targeting the mismatch repair pathway."",
journal = ""Annu. Rev. Biochem."",
volume = 84,
pages = ""199--226"",
month = jan,
year = 2015,
keywords = ""DNA mismatch repair; hereditary neurological diseases; non-B-DNA
structures; repeat expansion diseases; triplet repeats"",
language = ""en""
}",Annu. Rev. Biochem.,Cell%20Learning/Iyer_et_al._2015_-_DNA_triplet_repeat_expansion_and_mismatch_repair.pdf,,,"MMR, Neurons, Review, Tri-nucleotide Repeats",{DNA} triplet repeat expansion and mismatch repair,,2015
Xue2019-wy,"@ARTICLE{Xue2019-wy,
title = ""Environment-to-phenotype mapping and adaptation strategies in
varying environments"",
author = ""Xue, Bingkan and Sartori, Pablo and Leibler, Stanislas"",
abstract = ""Biological organisms exhibit diverse strategies for adapting to
varying environments. For example, a population of organisms may
express the same phenotype in all environments “unvarying” strategy or follow environmental cues and express alternative phenotypes to match the environment “tracking” strategy or
diversify into coexisting phenotypes to cope with environmental
uncertainty (``bet-hedging strategy''). We introduce a general
framework for studying how organisms respond to environmental
variations, which models an adaptation strategy by an abstract
mapping from environmental cues to phenotypic traits. Depending
on the accuracy of environmental cues and the strength of natural
selection, we find different adaptation strategies represented by
mappings that maximize the long-term growth rate of a population.
The previously studied strategies emerge as special cases of our
model: The tracking strategy is favorable when environmental cues
are accurate, whereas when cues are noisy, organisms can either
use an unvarying strategy or, remarkably, use the uninformative
cue as a source of randomness to bet hedge. Our model of the
environment-to-phenotype mapping is based on a network with
hidden units; the performance of the strategies is shown to rely
on having a high-dimensional internal representation, which can
even be random."",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 116,
number = 28,
pages = ""13847--13855"",
month = jul,
year = 2019,
keywords = ""evolutionary theory; fluctuating environments; phenotypic
plasticity; population dynamics; survival strategies"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Xue_et_al._2019_-_Environment-to-phenotype_mapping_and_adaptation_strategies_in_varying_environments.pdf,"BingKan Xue, Stanislas Leibler",,Theory,Environment-to-phenotype mapping and adaptation strategies in varying environments,,2019
Jordan2013-el,"@ARTICLE{Jordan2013-el,
title = ""Behavioral diversity in microbes and low-dimensional phenotypic
spaces"",
author = ""Jordan, David and Kuehn, Seppe and Katifori, Eleni and Leibler,
Stanislas"",
abstract = ""Systematic studies of phenotypic diversity--required for
understanding evolution--lag behind investigations of genetic
diversity. Here we develop a quantitative approach to studying
behavioral diversity, which we apply to swimming of the ciliate
Tetrahymena. We measure the full-lifetime behavior of hundreds of
individual organisms at high temporal resolution, over several
generations and in diverse nutrient conditions. To characterize
population diversity and temporal variability we introduce a
unique statistical framework grounded in the notion of a
phenotypic space of behaviors. We show that this space is
effectively low dimensional with dimensions that correlate with a
two-state ``roaming and dwelling'' model of swimming behavior.
Temporal variability over the lifetime of an individual is
correlated with the fraction of time spent roaming whereas
diversity between individuals is correlated with the speed of
roaming. Quantifying the dynamics of behavioral variation shows
that behavior over the lifetime of an individual is strongly
nonstationary. Analysis of behavioral dynamics between
generations reveals complex patterns of behavioral heritability
that point to the importance of considering correlations beyond
mothers and daughters. Our description of a low-dimensional
behavioral space should enable the systematic study of the
evolutionary and ecological bases of phenotypic constraints.
Future experimental and theoretical studies of behavioral
diversity will have to account for the possibility of
nonstationary and environmentally dependent behavioral dynamics
that we observe."",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 110,
number = 34,
pages = ""14018--14023"",
month = aug,
year = 2013,
keywords = ""behavioral variation in microbes; biological sciences; systems
biology"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Jordan_et_al._2013_-_Behavioral_diversity_in_microbes_and_low-dimensional_phenotypic_spaces.pdf,,,,Behavioral diversity in microbes and low-dimensional phenotypic spaces,,2013
Pleska2021-vk,"@ARTICLE{Pleska2021-vk,
title = ""Nongenetic individuality, changeability, and inheritance in
bacterial behavior"",
author = ""Ple{\v s}ka, Maro{\v s} and Jordan, David and Frentz, Zak and
Xue, Bingkan and Leibler, Stanislas"",
abstract = ""Isogenic populations often display remarkable levels of
phenotypic diversity even in constant, homogeneous environments.
Such diversity results from differences between individuals
(nongenetic individuality) as well as changes during individuals' lifetimes (changeability). Yet, studies that capture and quantify both sources of diversity are scarce. Here
we measure the swimming behavior of hundreds of Escherichia coli
bacteria continuously over two generations and use a
model-independent method for quantifying behavior to show that
the behavioral space of E. coli is low-dimensional, with
variations occurring mainly along two independent and
interpretable behavioral traits. By statistically decomposing the
diversity in these two traits, we find that individuality is the
main source of diversity, while changeability makes a smaller but
significant contribution. Finally, we show that even though
traits of closely related individuals can be remarkably
different, they exhibit positive correlations across generations
that imply nongenetic inheritance. The model-independent
experimental and theoretical framework developed here paves the
way for more general studies of microbial behavioral diversity."",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 118,
number = 13,
month = mar,
year = 2021,
keywords = ""behavioral diversity; microbial motility; nongenetic inheritance"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Pleska_et_al._2021_-_Nongenetic_individuality_changeability_and_inheritance_in_bacterial_behavior.pdf,,,,"Nongenetic individuality, changeability, and inheritance in bacterial behavior",,2021
Thornquist2021-un,"@ARTICLE{Thornquist2021-un,
title = ""Biochemical evidence accumulates across neurons to drive a
network-level eruption"",
author = ""Thornquist, Stephen C and Pitsch, Maximilian J and Auth,
Charlotte S and Crickmore, Michael A"",
abstract = ""Neural network computations are usually assumed to emerge from
patterns of fast electrical activity. Challenging this view, we
show that a male fly's decision to persist in mating hinges on a
biochemical computation that enables processing over minutes to
hours. Each neuron in a recurrent network contains slightly
different internal molecular estimates of mating progress.
Protein kinase A (PKA) activity contrasts this internal
measurement with input from the other neurons to represent
accumulated evidence that the goal of the network has been
achieved. When consensus is reached, PKA pushes the network
toward a large-scale and synchronized burst of calcium influx
that we call an eruption. Eruptions transform continuous
deliberation within the network into an all-or-nothing output,
after which the male will no longer sacrifice his life to
continue mating. Here, biochemical activity, invisible to most
large-scale recording techniques, is the key computational
currency directing behavior and motivational state."",
journal = ""Mol. Cell"",
volume = 81,
number = 4,
pages = ""675--690.e8"",
month = feb,
year = 2021,
keywords = ""Drosophila; FLIM; PKA; cAMP; eruption; evidence accumulation;
motivation; neural networks; sexual behavior; time"",
language = ""en""
}",Mol. Cell,Cell%20Learning/Thornquist_et_al._2021_-_Biochemical_evidence_accumulates_across_neurons_to_drive_a_network-level_eruption.pdf,,,Neurons,Biochemical evidence accumulates across neurons to drive a network-level eruption,,2021
Osman2022-bw,"@ARTICLE{Osman2022-bw,
title = ""Protein metalation in a nutshell"",
author = ""Osman, Deenah and Robinson, Nigel J"",
abstract = ""Metalation, the acquisition of metals by proteins, must avoid
mis-metalation with tighter binding metals. This is illustrated
by four selected proteins that require different metals: all
show similar ranked orders of affinity for bioavailable metals,
as described in a universal affinity series (the Irving-Williams
series). Crucially, cellular protein metalation occurs in
competition with other metal binding sites. The strength of this
competition defines the intracellular availability of each
metal: its magnitude has been estimated by calibrating a cells'
set of DNA-binding, metal-sensing, transcriptional regulators.
This has established that metal availabilities (as free energies
for forming metal complexes) are maintained to the inverse of
the universal series. The tightest binding metals are least
available. With these availabilities, correct metalation is
achieved."",
journal = ""FEBS Lett."",
volume = """",
month = sep,
year = 2022,
keywords = ""Irving-Williams series; cobalt; copper; iron; magnesium;
manganese; metal sensor; metalation; nickel; zinc"",
copyright = ""http://onlinelibrary.wiley.com/termsAndConditions%5C%5C#vor"",
language = ""en""
}",FEBS Lett.,Cell%20Learning/Osman_and_Robinson_2022_-_Protein_metalation_in_a_nutshell.pdf,Nigel J Robinson,,,Protein metalation in a nutshell,,2022
